et	de	en	lt	lv
"Seetõttu veenduge, et kasutate kindlaksmääratud määrdeainet."	"Stellen Sie daher sicher, dass Sie das vorgeschriebene Schmierfett verwenden."	"Therefore, make sure you use the type of grease specified."	"Todėl įsitikinkite, kad naudojate nurodyto tipo tepalą."	"Tāpēc pārliecinieties, vai Jūs izmantojat norādītā veida smērvielu."
Seetõttu pingutage üks kord keskmist mutrit ja seejärel lõdvendage seda pisut.	Ziehen Sie die zentrale Mutter daher einmal fest und lösen Sie sie dann etwas.	"Therefore, tighten the central nut once and then loosen it a little."	"Taigi, pirmiausia priveržkite centrinę veržlę, tada ją šiek tiek atlaisvinkite."	Tāpēc pievelciet centrālo uzgriezni vienreiz un tad to nedaudz atlaidiet vaļīgāk.
Termostaat 5.	Thermostat 5.	Thermostat 5.	Termostatas 5.	Termostats 5.
Need on selles jaotises käsitletavad põhiteemad.	"Dies sind die Schwerpunkte, die in diesem Abschnitt behandelt werden."	These are the main items discussed in this section.	Tai yra pagrindinės šiame skyriuje aptariamos temos.	Šie ir galvenie šajā sadaļā aprakstītie elementi.
Need tööriistad ja mõõteinstrumendid on toodetud eraldi kasutamiseks.	"Diese Werkzeuge und Messinstrumente werden hergestellt, um in einer bestimmten Weise verwendet zu werden."	These tools and measuring instruments are manufactured for use in a particular way.	Šie įrankiai ir matavimo prietaisai pagaminti naudoti tam tikru būdu.	Šādi instrumenti un mērinstrumenti ir izgatavoti īpašam pielietojumam.
Need tööriistad on toodetud kasutamiseks eraldi.	"Diese Werkzeuge wurden hergestellt, um in einer bestimmten Weise verwendet zu werden."	These tools are manufactured for use in a particular way.	Šie įrankiai pagaminti naudoti tam tikru būdu.	Šie instrumenti ir izgatavoti pielietojumam dažādiem mērķiem.
Need tööriistad on täppisinstrumendid ja sisemised osad võivad saada kahjustada.	Diese Werkzeuge sind Präzisionsinstrumente. Die inneren Teile könnten beschädigt werden.	These tools are precision instruments and the inside parts may become damaged.	Šie įrankiai yra tikslūs instrumentai ir jų vidinės dalys gali būti pažeistos.	"Šie instrumenti ir precīzijas instrumenti, un detaļas to iekšpusē var tikt sabojātas."
Neid kasutatakse põhiliselt autode elektriühenduse osadega.	Sie werden häufig mit den Antriebsstrang-Komponenten eines Automobils verwendet.	They are commonly used with the powertrain components of an automobile.	Jie dažnai naudojami su automobilio transmisijos komponentais.	Tos pārsvarā izmanto automobiļa spēka piedziņas komponentos.
Paksusmõõtur Paksusmõõtureid saab kasutada mitmesugusteks mõõtmisteks.	Dickenmessgerät Dickenmessgeräte können zu mehreren Messzwecken verwendet werden.	Thickness Gauge Thickness gauges can be used for several measuring purposes.	Storio matuoklis – storio matuoklius galima naudoti įvairiais tikslais.	Biezummērītājs Biezummērītājus var izmantot vairākiem mērījumu mērķiem.
Ketasrootorite paksus	Dicke der Bremsscheiben	Thickness of disc rotors	Disko rotorių storis	Diska biezumu
See põhjustab hüdraulilise juhtimissüsteemi kõikidele osadele ülemäärast koormus ja toob kaasa kuumuse tekkimise.	Das führt zu einer übermäßigen Beanspruchung aller Teile des hydraulischen Lenksystems und führt zu Hitzererzeugung.	This causes excessive load on all parts of the hydraulic steering system and causes heat generation.	Tai labai padidina visų hidraulinės vairavimo sistemos dalių apkrovą ir jos kaista.	Tas izraisa pārmērīgu slodzi uz visām hidrauliskā stūres mehānisma daļām un veicina karstuma rašanos.
"See põhjustab selle, et puhastaine (putukate eemaldamine) on vilets."	Daher ist die Reinigungsleistung (Insektenentfernung) schwach.	This causes the cleaning performance (insect removal) to be poor.	Tai sumažina valymo (vabzdžių pašalinimo) efektyvumą.	Tas pazemina tīrīšanas efektivitāti (insektu noņemšana).
See kontroll viiakse läbi töötava mootoriga tühikäigul Klapivahe kontrollimine: mootori tühiäigul töötamise ajal kontrollige liigset müra klapikaanel.	"Diese Prüfung erfolgt bei im Stillstand laufendem Motor Inspektion des Ventilspiels: Während der Motor im Stillstand ist, prüfen Sie auf ein auffälliges Tropfgeräusch am Ventildeckel."	"This check is carried out with the engine running at idle Inspecting the Valve Clearance: While the engine is idling, check for excessive tapping noise on the valve cover."	"Ši apžiūra atliekama varikliui veikiant tuščiąja eiga Vožtuvo tarpo patikra: Varikliui veikiant tuščiąja eiga pasiklausykite, ar nesigirdi smarkaus barbenimo į vožtuvų dangtį."	"Šīs pārbaudes laikā dzinējam jādarbojas tukšgaitā Vārstu siltumatstarpes pārbaude: Kad dzinējs darbojas tukšgaitā, pārbaudiet, vai nav dzirdams pārmērīgs klaudzienu troksnis uz vārsta vāka."
See kursus hõlmab järgmist teemat	Dieser Kurs deckt folgende Themen ab	This course covers the following topic	Kurse apžvelgiama ši tema	Šis kurss attiecas uz šādām tēmām:
Seda saab kasutada kahel viisil nihutades sõidumehhanismi.	"Dieser Griff kann auf zwei Arten verwendet werden, indem das Ritzel des Steckenantriebs verwendet wird."	This handle can be used in two ways by sliding the socket drive pinion.	"Šią rankeną galima naudoti dviem būdais, perstumiant lizdinio atsuktuvo krumpliaratį."	"Šo rokturi var izmantot divējādi, pārbīdot galatslēgas uzgaļa zobratu."
Ülevaatusega kaasnevad järgmised kontrollid: 1.	Die Inspektion umfasst folgende Prüfungen: 1.	This inspection comprises the following checks: 1.	Šią patikrą sudaro šios apžiūros: 1.	Šī pārbaude ietver šādu elementu pārbaudi: 1.
"See on kohatäide lehe jaoks, mis tervitab teie õpilasi."	Dies ist ein Platzhalter für die Begrüßungsseite für Ihre Schüler.	This is a place holder for the page which will welcome your students.	"Tai vietos žymė puslapiui, kuris pasitiks jūsų mokinius."	"Šis ir vietturis lapai, kas aicinās Jūsu apmācāmos."
"See erineb elastsusest, mis võimaldab materjalil oma algset kuju taastada."	"Dies steht im Gegensatz zur Elastizität, was die Eigenschaft ist, aufgrund derer eine Substanz ihre ursprüngliche Form wiedererlangen kann."	"This is in contrast to elasticity, which is the property that enables a substance to recover its original form."	"Tai priešinga savybė elastingumui, dėl kurio medžiaga atgauna pradinę formą."	"Plastiskums ir pretējs elastīgumam, kas ir īpašība, kura ļauj vielai atgūt savu sākotnējo formu."
See on minimaalne mustri sügavus ja vesiliu risk on ohtlikult kõrge.	"Das ist die minimale Profiltiefe, und die Risiken von Aquaplaning sind gefährlich hoch."	This is the minimum tread depth and the risks of aquaplaning are dangerously high.	Tai minimalus protektoriaus gylis ir slydimo ant šlapios dangos pavojus yra tikrai didelis.	"Šis ir minimālais protektora rievu dziļums, un akvaplanēšanas risks ir bīstami augsts."
"See toob kaasa klientide lojaalsuse, rahulolu ja usalduse."	"Dies führt zu Zurückhaltung, Zufriedenheit und Vertrauen seitens des Kunden."	"This leads to customer retention, satisfaction and trust."	Todėl išlaikomas patenkintas ir pasitikinti klientas.	Tādējādi tiek paturēti klienti un paaugstināts viņu apmierinātības un uzticēšanās līmenis.
See võib põhjustada liiga suure pöördejõu kasutamise ja võib kahjustada polti või mutrivõtit.	"Das kann dazu führen, dass ein übergroßes Drehmoment angewendet wird und die Schraube oder der Gabelschlüssel (Schraubenschlüssel) beschädigt wird."	This may cause over- large torque to be applied and may damage the bolt or the open end wrench (spanner).	Taip galima panaudoti per didelį sukimo momentą ir sugadinti varžtą ar veržliaraktį.	Tas var izraisīt pārmērīgu pievilkšanas spēka piemērošanu un sabojāt skrūvi vai žokļatslēgu (uzgriežņu atslēgu).
"See programm koosneb juhendaja juhitud kursusest, mis hõlmab 13 teemat."	Dieses Programm besteht aus dem angeleiteten Kurs und umfasst 13 Themen.	This program consists of the instructor led courses covering 13 topics.	"Šią programą sudaro instruktoriaus vedami kursai, apimantys 13 temų."	"Šī programma sastāv no pasniedzēju vadītiem kursiem, kas aptver 13 tēmas."
Selles peatükis käsitletakse järgmisi teemasid:	Dieser Abschnitt umfasst die folgenden Punkte:	This section covers the following items:	Šiame skyriuje yra šios dalys:	Šajā sadaļā ir aprakstīti šādi elementi:
"See osa sisaldab hooldusülesandeid, mis on esitatud tõsteasendis 1."	"Dieser Abschnitt umfasst die Wartungsaufgaben, die in Hebeposition 1 durchgeführt werden."	This section covers the maintenance tasks that are performed at lift position 1.	"Šiame skyriuje aptariamos techninės priežiūros užduotys, atliekamos 1 keltuvo padėtyje."	"Šī sadaļa attiecas uz tehniskās apkopes uzdevumiem, ko veic celšanas pozīcijā 1."
Selles osas on tegemist järgmiste tööriistu puudutavate teemadega:	Dieser Abschnitt behandelt die folgenden Punkte zum Thema Werkzeuge:	This section deals with the following items about tools:	Šiame skyriuje aptariami šie su įrankiais susiję elementai:	Šajā sadaļā ir izklāstīti šādi ar instrumentiem saistīti jautājumi:
Selles jaotises käsitletakse järgmisi mõõteseadmeid puudutavaid teemasid:	Dieser Abschnitt behandelt die folgenden Pubkte zum Thema Messinstrumente:	This section handles the following items about measuring instruments:	Šiame skyriuje aptariamos šios su matavimo instrumentais susijusios temos:	Šajā sadaļā ir iekļauti šādi jautājumi par mērinstrumentiem:
Selles peatükis käsitletakse järgmisi teemasid: Sissejuhatus Hooldustööd Tõstuki asendid ja pöörlemise järjekord Kontrollimistoimingud	Dieser Abschnitt behandelt die folgenden Punkte: Einführung Wartungsaufgaben Hebepositionen and Rotationsreihenfolge Inspektionsprozedur	This section handles the following items: Introduction Maintenance Tasks Lift Positions and Rotation Order Inspection Procedure	"Šiame skyriuje įtrauktos šios dalys: įžanga, techninės priežiūros užduotys, keltuvo padėtys ir pasukimas, užsakymas, patikros procedūra"	Šajā sadaļā ir iekļauti šādi elementi: Ievads Apkopes uzdevumi Celšanas pozīcijas un darbu veikšanas kārtība Pārbaudes procedūra
Selles jaotises käsitletakse järgmisi teemasid: Hooldusfilosoofia Töökirjeldused Põhitoimingud hooldusalal	Dieser Abschnitt behandelt die folgenden Punkte: Servive-Philosophie Auftragsbeschreibung Grundlegende Dienste im Servicebereich	This section handles the following items: Service Philosophy Job Descriptions Basic Operations in the Service Area	"Šiame skyriuje yra šios dalys: techninės priežiūros filosofija, darbų aprašai, bazinės operacijos techninės priežiūros zonoje"	Šajā sadaļā ir iekļauti šādi elementi: Apkopes filozofija Darba apraksti Pamatdarbības apkopes jomā
"See osa käsitleb järgmisi teemasid: hooldusgraafik, hooldusvälbad"	Dieser Abschnitt behandelt die folgenden Punkte: Wartungsplan Wartungsintervalle	This section handles the following topics: Maintenance schedule Service intervals	Šiame skyriuje aptariamos šios temos: techninės priežiūros tvarkaraščio priežiūros intervalai	Šajā sadaļā ir iekļauti šādi jautājumi: Apkopes grafiks Apkopes intervāli
See peatükk käsitleb järgnevaid teemasid: Töö Kulumine Auto Tõste Töötoas Tulekahju Aku Elektritarvikute käsitsemine	Dieser Abschnitt behandelt die folgenden Punkte: Arbeitskleidung Hebebühne In der Werkstatt Brandschutz Batterie Umgang mit elektrischen Geräten	This section handles the following topics: Work Wear Car Lift In the Workshop Fire Prevention Battery Handling Electrical Equipment	Šioje dalyje pristatomos šios temos: Darbas Dėvėjimasis Automobilių keltuvas Dirbtuvėse Priešgaisrinė apsauga Akumuliatorius Elgesys su elektrine įranga	Šajā sadaļā ir iekļauti šādi jautājumi: Darba apģērbs Automobiļa pacēlājs Darbnīcā Ugunsdrošība Darbs ar akumulatoriem Elektroiekārtas
"See uuring võimaldab teil vaadata läbi jaotises „Põhiteave perioodilise hoolduse kohta“ esitatud teabe tõstepunktide 4, 5 ja 7 kohta, et värskendada oma teadmisi või valmistuda sertifitseerimiseksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Grundkenntnisse der regelmäßigen Wartung“ für Hebepositionen 4, 5 und 7 durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für für die Zertifizierungsprüfung vorbereiten können."	"This study allows you to review the ""Basic Knowledge of Periodic Maintenance"" section for Lift Positions 4, 5 and 7 in order to refresh your knowledge or to prepare yourself for the certification examinations."	"Šios studijos padės pasikartoti skyrių „Periodinės techninės priežiūros bazinės žinios“, kuriame aprašomos 4, 5 ir 7 keltuvo padėtys, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Pamatzināšanas par periodisko apkopi” attiecībā uz celšanas pozīcijām 4, 5 un 7, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmeniem."
"See uuring võimaldab teil vaadata läbi jaotis „Põhiteave perioodilise hoolduse kohta“, et värskendada oma teadmisi või valmistuda sertifitseerimiseksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Grundkenntnisse der regelmäßigen Wartung“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für für die Zertifizierungsprüfung vorbereiten können."	"This study allows you to review the ""Basic knowledge of periodic maintenance"" section in order to refresh your knowledge, or to prepare yourself for the certification examinations."	"Šios studijos padės pasikartoti skyrių „Periodinės techninės priežiūros bazinės žinios“, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Pamatzināšanas par periodisko apkopi”, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmeniem."
"See kursus annab ülevaate jaotisest Põhilised teenindustoimingud, et saaksite oma teadmisi värskendada või valmistuda kutseeksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „ Grundlegende Serviceleistungen“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für für die Zertifizierungsprüfung vorbereiten können."	"This study allows you to review the ""Basic Service Operations"" section in order to refresh your knowledge, or to prepare yourself for the certification examinations."	"Ši pamoka jums padės peržvelgti skyrių „Techninės apžiūros vykdymo pagrindai“, kad prisimintumėte ankstesnę medžiagą arba pasiruoštumėte sertifikacijos egzaminams."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Apkopes pamatdarbības”, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmeniem."
"See ülevaade hõlmab ka osa “Korraline hooldus. Sissejuhatus “, et värskendada Teie teadmisi või aidata Teil valmistuda kutseoskuse eksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Grundkenntnisse der regelmäßigen Wartung“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für die Zertifizierungsprüfung vorbereiten können."	"This study allows you to review the ""Introduction to Periodic Maintenance"" section in order to refresh your knowledge or to prepare yourself for the certification examination."	"Šios studijos padės pasikartoti skyrių „Įžanga į periodinę techninę priežiūrą“, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Ievads periodiskajā apkopē”, lai atsvaidzinātu zināšanas vai sagatavotos gada sertifikācijas eksāmenam."
"See kursus annab ülevaate jaotisest Auto tõstmine, et saaksite oma teadmisi värskendada või valmistuda kutseeksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Hebebühne“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für für die Zertifizierungsprüfung vorbereiten können."	This study allows you to review the “Car Lift” section in order to refresh your knowledge or to prepare yourself for the certification examination.	"Šios studijos padės pasikartoti skyrių „Automobilių keltuvas“, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Automobiļa pacēlājs”, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmenam."
"See uuring võimaldab teil vaadata läbi jaotise „Tööriistad“, et värskendada oma teadmisi või valmistuda sertifitseerimiseksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Werkzeuge“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für für die Zertifizierungsprüfung vorbereiten können."	This study allows you to review the “Tools” section in order to refresh your knowledge or to prepare yourself for the certification examination.	"Šios studijos padės pasikartoti įrankių skyrių, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt sadaļu “Instrumenti”, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmenam."
"See ülevaade hõlmab ka osa “11. Kursus.  Perioodiline hooldus“, et värskendada Teie teadmisi või aidata Teil valmistuda kutseoskuse eksamiks."	"Diese Studie ermöglicht es Ihnen, den Bereich „Ausgabe 11 - Regelmäßige Wartung“ durchzusehen, damit Sie Ihr Wissen auffrischen oder sich für die Zertifizierungsprüfung vorbereiten können."	This study allows you to review the 'Volume 11 - Periodic Maintenance' section in order to refresh your knowledge or to prepare yourself for the certification examinations.	"Šios studijos padės pasikartoti 11 skyrių „Periodinė techninė priežiūra“, atnaujinti žinias ir pasiruošti sertifikavimo egzaminui."	"Šī apmācība sniedz iespēju atkārtoti pārskatīt “11. sējuma sadaļu Periodiskā apkope”, lai atsvaidzinātu zināšanas vai sagatavotos sertifikācijas eksāmeniem."
"Selles dokumendis käsitletakse põhiteavet, mis on vajalik järgmise teabe mõistmiseks"	"In dieser Ausgabe werden die Grundkenntnisse besprochen, die zum Verständnis nötig sind."	This volume discusses the basic knowledge necessary to understand	"Šioje dalyje pateikiama pagrindinė informacija, kuri padės suprasti"	"Šajā sējumā ir izklāstītas pamatzināšanas, kas vajadzīgas, lai izprastu,"
"Nii püsib varras paigal, kui jõudu rakendatakse."	"So wird der Splint in der Position gehalten, wenn Kraft angewendet wird."	This way the pin is held into position while force is applied.	Tokiu būdu naudojant jėgą kaištis lieka savo vietoje.	"Šādi tapa tiek noturēta pozīcijā, kad tiek pielikts spēks."
Kinnitatud rattad	Befestigen des Rads	Tighten wheels	Užveržkite ratus	Riteņu pievilkšana
Kinnituse kontrollimine	Inspektion der Befestigung	Tightening inspection	Užveržimo patikra	Pievilkšanas pārbaude
"Pingutamiskontroll: pingutamiskontrolli käigus vaadatakse üle kõik vedrustuse, rooliseadme, väljalaskesüsteemi jne kinnitused."	"Inspektion der Befestigung: The inspektion der Befestigung umfasst alle Fixierungen bei Aufhängung, Lenkung, Abgas usw."	"Tightening inspection: The tightening inspection covers all fixations of suspension, steering, exhaust etc."	"Užveržimo patikra: užveržimo patikra apima visus pakabos, vairavimo, išmetimo ir kt. sistemų fiksavimo vietas."	"Pievilkšanas pārbaude: Pievilkšanas pārbaude attiecas uz visiem piekares, stūres mehānisma, izplūdes sistēmas u. c. stiprinājumiem."
Kinnitusmeetodid	Methoden der Befestigung	Tightening Methods	Užveržimo metodai	Pievilkšanas metodes
Hammasrihm 4.	Steuerkette 4.	Timing chain 4.	Pavaros grandinė 4.	Sadales ķēde 4.
Ratta rõhk suureneb	Reifendruck nimmt ab	Tire pressure decreases	Slėgis padangoje sumažėja	Samazinās spiediens riepās
Rehvide kulumisel on mitmeid eri vorme.	Reifenverschleiß hat viele verschiedene Formen.	Tire wear has many different shapes.	Padangų nusidėvėjimas gali būti labai įvairių formų.	Ir daudz dažādu riepu nodiluma veidu.
Rehvid ja varurehvid	Reifen und Ersatzreifen	Tires and Spare Tire	Padangos ir atsarginė padanga	Riepas un rezerves ritenis
Kliendi sõiduki määrimise või kraapimise ärahoidmiseks kasutage kaistekatteid.	"Verwenden Sie Schutzabdeckungen, um keine Spuren oder Kratzer auf dem Fahrzeug des Kunden zu hinterlassen."	"To avoid marking or scratching the customer's vehicle, use protective covers."	"Kad nepaliktumėte ant kliento automobilio žymių ar įbrėžimų, naudokite apsauginius apdangalus."	"Lai izvairītos no klienta transportlīdzekļa nosmērēšanas vai noskrāpēšanas, jāizmanto aizsargpārsegi."
Mutri või poldi asendamine nõuab teadmisi sihipäraseks kasutamiseks vajaliku vormi kohta.	"Der Austausch einer Mutter oder Schraube erfordert die Kenntnis des verwendeten Formats, um die Identifikation zu kommunizieren."	To be able to replace a nut or bolt requires knowledge of the format used to communicate its identification.	"Keičiant veržlę ar varžtą, reikia žinoti jų formatą, kad galėtumėte pranešti jų identifikacinius duomenis."	"Lai būtu iespējams nomainīt uzgriezni vai skrūvi, ir jābūt zināšanām par formātu, ko izmanto tā identifikācijas paziņošanai."
Mootori jahutusvedeliku kontrollimiseks vaadake remontimise käsiraamatut erinevate mootorijahutite kohta.	Zur Qualitätsprüfung des Motor-Kühlmittels siehe Reparaturhandbuch jedes verschiedenen Motor-Kühlmittels.	To check the quality of the engine coolant see the repair manual for each different engine coolant.	"Norėdami patikrinti variklio aušalo kokybę, vadovaukitės remonto instrukcijos informacija apie skirtingus variklio aušalus."	"Lai pārbaudītu dzinēja dzesēšanas šķidruma kvalitāti, meklējiet informāciju remontdarbu rokasgrāmatā par katru atsevišķu dzinēja dzesēšanas šķidrumu."
Klapi töö kontrollimiseks vaadake joonist	Zur Prüfung des Ventilbetriebs sehen Sie sich die Animation an	To check the valve operation view the animation	Norėdami patikrinti vožtuvo veikimą žr. animaciją	"Lai pārbaudītu vārsta darbību, noskatieties animāciju."
Mootorile 4.	Zu Motor 4.	To engine 4.	Į variklį 4.	Uz dzinēju 4.
Kontrollige aktiivsöe filterelementi kahes etapis järgmiselt:	"Um den Aktivkohlebehälter zu inspizieren, führen Sie die folgenden zwei Schritte durch:"	To inspect the charcoal canister use the following two steps:	"Norėdami patikrinti anglies filtrą, atlikite šiuos du veiksmus:"	"Lai pārbaudītu ogles filtru, izmantojiet šādas divas darbības:"
Trummelpidurite libisevaid pindu määrida korrosioonitõrjeks määrdeainega.	"Die gleitenden Teile der Trommelbremse werden mit Schmierfett behandelt, um Rost vorzubeugen."	"To prevent rust, grease is applied to the sliding parts of the drum brake."	"Siekdami apsaugoti nuo rūdijimo, sutepkite būgninių stabdžių slankiojančias dalis."	"Lai novērstu rūsēšanu, loku bremžu mehāniskās daļas ieeļļo."
"Vastasosa pöörlemise vältimiseks, mis võib juhtuda siis, kui lõdvendate kütusetoru, kasutage kahte lehtvõtit, et mutter lahti keerata."	"Um das Drehen des Gegenstücks zu verhindern, etwa beim Lösen einer Kraftstoffleitung, verwenden Sie zwei Gabelschlüssel (Schraubenschlüssel) zum Lösen einer Mutter."	"To prevent the opposite part from turning, such as when loosening a fuel pipe, use two open end wrenches (spanners) to loosen a nut."	"Kad priešinga dalis nepasisuktų, pvz., atlaisvinant degalų vamzdį, veržlei atlaisvinti naudokite du veržliarakčius."	"Lai novērstu pretējās puses griešanos, piemēram, atlaižot degvielas šļūteni, izmanto divas žokļatslēgas (uzgriežņu atslēgas), lai skrūvi atlaistu vaļīgāk."
Veorihma pingutamiseks kasutatakse kahte tüüpi pinguteid.	"Um den Antriebsriemen zu spannen, werden zwei Typen von Spannern verwendet."	"To tension the drive belt, two types of tensioners are used."	Pavaros diržui įtempti naudojami dviejų tipų įtempikliai.	"Lai nospriegotu piedziņas siksnu, izmanto divu veidu spriegotājierīces."
"Keerake tikkpolt kinni, pange tikkpoldile kaks mutrit ja kinnitage."	Zur Befestigung eines Stehbolzens nehmen Sie zwei zum Stehbolzen passende Muttern und befestigen Sie sie aneinander.	"To tighten a stud bolt, fit two nuts to the stud bolt and tighten them together."	"Norėdami užveržti suveržimo varžtą, ant suveržimo varžto prisukite dvi veržles ir glaudžiai jas priveržkite."	"Lai ieskrūvētu tapskrūvi, pielāgojiet divus uzgriežņus tapskrūvei un tos pievelciet kopā."
"Kasutage kinnikeeramiseks alati momentvõtit, mis on seatud ettenähtud pingutusmomendile ja pingutage polte ristjärjestuses. Tehke see toiming kõigi nelja ratta puhul joonisel näidatud järjestuses."	Zum Festziehen verwenden Sie immer: ein Drehmomentschlüsselset für den bestimmten Drehmoment eine gitternetzartige Abfolge Führen Sie diesen Vorgang an allen vier Rädern in der abgebildeten Reihenfolge aus.	To tighten always use: a torque wrench set to the specified torque a criss-cross sequence Perform this action for all four wheels in the sequence indicated in the illustration.	Užverždami visada naudokite: dinamometrinį raktą su nustatytu nurodytu sukimo momentu ir sukite įstrižai vienas kito atžvilgiu išdėstytus varžtus. Atlikite šiuos veiksmus su visais keturiais ratais paveikslėlyje parodyta tvarka.	"Pievilkšanai vienmēr izmantojiet: dinamometrisko atslēgu, kurai iestatīts noteiktais pievilkšanas spēks, krusteniskā secībā Veiciet šo darbību attiecībā uz visiem četriem riteņiem attēlā norādītajā secībā."
Tööriistad tuleb kohe pärast kasutamist puhastada ja vajadusel õlitada.	Werkzeuge sollten direkt nach der Verwendung gereinigt und gegebenenfalls geölt werden.	Tools should be cleaned and if necessary oiled as soon as they have been used.	"Įrankiai turi būti nuvalyti ir, jei reikia, sutepti iškart po naudojimo."	Instrumenti ir jātīra un vajadzības gadījumā jāieeļļo uzreiz pēc to izmantošanas.
"Hammaspesur Sellel pesuril on ühel pool hambuline pind, mis hoiab ära mutri või poldi lõdvenemise."	"Zahnscheibe Diese Scheibe hat auf einer Seite eine gezahnte Oberfläche, die für Reibung sorgt und dadurch verhindert, dass die Mutter oder die Schraube sich lösen."	Toothed washer This washer has a toothed surface on one side that provides friction to prevent the nut or bolt from loosening.	"Dantyta poveržlė Šios poveržlės vienos pusės paviršius, kuris palaiko trintį, yra dantytas, kad poveržlė ar varžtas neatsilaisvintų."	"Robainā paplāksne Šā veida paplāksnei ir robaina virsma vienā pusē, kas rada berzi, novēršot uzgriežņa vai skrūves atskrūvēšanos."
Klient peab saama esmase tähtsuse.	Beim Kunden muss die oberste Priorität liegen.	Top priority must be given to the customer.	Klientas yra svarbiausias prioritetas.	Galvenā prioritāte jāpiešķir klientam.
Esmase tähtsuse peab andma edasimüüjale.	Beim Händler muss die Priorität liegen.	Top priority must be given to the dealer.	Svarbiausia atsižvelgti į atstovą.	Galvenā prioritāte jāpiešķir dīlerim.
"Momentvõti Kasutage momentvõtit, et veenduda, et poldid on kinni keeratud õige pingutusmomendiga."	"Drehmomentschlüssel Verwenden Sie einen Drehmomentschlüssel, um sicherzustellen, dass die Schrauben mit dem korrekten Drehmoment angezogen sind."	"Torque Wrench To make sure that bolts are tightened with the correct torque, it is necessary to use a torque wrench."	"Dinamometrinis raktas – kad varžtai būtų prisukti naudojant tinkamą sukimo momentą, būtina naudoti dinamometrinį raktą."	"Dinamometriskā atslēga Lai pārliecinātos, vai skrūve ir pievilkta ar pareizu pievilkšanas momentu, ir jāizmanto dinamometriskā atslēga."
Kaks torniotsa suurust sobivad kõikide sõrmedega.	Zwei Größen von Stempeln passen auf alle Splints.	Two sizes of punch tip match all pins.	Dviejų dydžių dėtuvo galas tinka visiems kaiščiams.	Divu izmēru caurumsišu gali ir piemēroti visām tapām.
"Võimalik on kahte tüüpi sügavus: standardne ja sügav, mis on standardsest kaks või kolm korda sügavam."	"Zwei Tiefenangaben sind möglich: standard und tief, was 2- bis 3-mal tiefer ist als standard."	"Two types of depth are possible: standard and deep, which is 2 or 3 times deeper than standard."	"Galimas dviejų tipų gylis: standartinis ir gilus, kuris 2–3 gilesnis už standartinį."	"Ir iespējamas divu dziļumu uzmavas: standarta uzmava un dziļā uzmava, kas ir 2 vai 3 reizes dziļāka nekā standarta uzmava."
Tüüp 2: vahekauguse reguleerimine käsipiduri hoova abil.	Type 2: Einsteller des Spiels durch Betrieb des Stellbremshebels.	Type 2: clearance adjuster by operation of the parking brake lever.	2 tipas: tarpo derinimas naudojantis stovėjimo stabdžio svirtimi.	"2. veids: atstarpes regulēšana, izmantojot stāvbremzes sviru."
Poltide tüübid	Arten von Schrauben	Type of Bolts	Varžtų tipas	Skrūvju veidi
